iter	RMSE
0	0.6645851634
1	0.6129862281
2	0.5645028519
3	0.5257465739
4	0.4863930062
5	0.4519817808
6	0.4261917055
7	0.3968869071
8	0.376454577
9	0.3482679388
10	0.3246598417
11	0.3049038093
12	0.2850155469
13	0.2688087838
14	0.2583282978
15	0.2431506586
16	0.2282787745
17	0.2154658734
18	0.2069286905
19	0.1996414267
20	0.1889169837
21	0.1870718765
22	0.1794070763
23	0.1739634012
24	0.1675467384
25	0.1627195748
26	0.1606779931
27	0.158203032
28	0.1563170789
29	0.1549534953
30	0.1502974015
31	0.1461159475
32	0.1447167735
33	0.1430738387
34	0.1406911116
35	0.1382177117
36	0.1372794986
37	0.1341796433
38	0.1327566119
39	0.1315921484
40	0.1304995105
41	0.1268263993
42	0.1249246748
43	0.1242523316
44	0.1213771816
45	0.120927671
46	0.1198805224
47	0.1194988554
48	0.1185792804
49	0.1175043166
50	0.1167090841
51	0.115952597
52	0.1146610391
53	0.1137872473
54	0.1130676287
55	0.112278933
56	0.1120500053
57	0.1112552807
58	0.1106487074
59	0.1100809632
60	0.1095316857
61	0.1072414513
62	0.106511142
63	0.1056241963
64	0.1049725506
65	0.1041766597
66	0.1033512553
67	0.1028452558
68	0.1003586541
69	0.09916053401
70	0.09882137611
71	0.09812467077
72	0.09753726145
73	0.09705734054
74	0.09675325654
75	0.09642138444
76	0.09565382222
77	0.09495500928
78	0.09381927758
79	0.09275220543
80	0.09171508191
81	0.08971370431
82	0.08945099363
83	0.08925626725
84	0.08878195833
85	0.08699109177
86	0.08647785473
87	0.08589019054
88	0.08540824178
89	0.08496792109
90	0.08455150216
91	0.0839974986
92	0.0834516879
93	0.0830777783
94	0.08262048564
95	0.08243622765
96	0.08191728497
97	0.08109970635
98	0.08092921308
99	0.08043371858
